	tweet_id	rating_numerator	rating_denominator
0	892420643555336193	13.0	10.0
1	892177421306343426	0.8	10.0
2	891815181378084864	12.0	10.0
3	891689557279858688	13.0	10.0
4	891327558926688256	12.0	10.0
5	891087950875897856	13.0	10.0
6	890971913173991426	13.0	10.0
7	890729181411237888	13.0	10.0
8	890609185150312448	13.0	10.0
9	890240255349198849	14.0	10.0
10	890006608113172480	13.0	10.0
11	889880896479866881	13.0	10.0
12	889665388333682689	13.0	10.0
13	889638837579907072	12.0	10.0
14	889531135344209921	13.0	10.0
15	889278841981685760	13.0	10.0
16	888917238123831296	12.0	10.0
17	888804989199671297	13.0	10.0
18	888554962724278272	13.0	10.0
19	888078434458587136	12.0	10.0
20	887705289381826560	13.0	10.0
21	887517139158093824	14.0	10.0
22	887473957103951883	13.0	10.0
23	887343217045368832	13.0	10.0
24	887101392804085760	12.0	10.0
25	886983233522544640	13.0	10.0
26	886736880519319552	13.0	10.0
27	886680336477933568	13.0	10.0
28	886366144734445568	12.0	10.0
29	886267009285017600	12.0	10.0
30	886258384151887873	13.0	10.0
31	885984800019947520	12.0	10.0
32	885528943205470208	13.0	10.0
33	885518971528720385	14.0	10.0
34	885167619883638784	13.0	10.0
35	884925521741709313	12.0	10.0
36	884876753390489601	13.0	10.0
37	884562892145688576	13.0	10.0
38	884441805382717440	14.0	10.0
39	884247878851493888	13.0	10.0
40	884162670584377345	12.0	10.0
41	883838122936631299	12.0	10.0
42	883482846933004288	5.0	10.0
43	883360690899218434	13.0	10.0
44	883117836046086144	13.0	10.0
45	882992080364220416	13.0	10.0
46	882762694511734784	12.0	10.0
47	882627270321602560	13.0	10.0
48	882268110199369728	13.0	10.0
49	882045870035918850	13.0	10.0
50	881906580714921986	12.0	10.0
51	881666595344535552	13.0	10.0
52	881633300179243008	17.0	10.0
53	881536004380872706	14.0	10.0
54	881268444196462592	12.0	10.0
55	880935762899988482	13.0	10.0
56	880872448815771648	12.0	10.0
57	880465832366813184	12.0	10.0
58	880221127280381952	12.0	10.0
59	880095782870896641	11.0	10.0
60	879862464715927552	13.0	10.0
61	879674319642796034	14.0	10.0
62	879492040517615616	12.0	10.0
63	879415818425184262	13.0	10.0
64	879376492567855104	12.0	10.0
65	879050749262655488	11.0	10.0
66	879008229531029506	13.0	10.0
67	878776093423087618	13.0	10.0
68	878604707211726852	13.0	10.0
69	878281511006478336	13.0	10.0
70	878057613040115712	14.0	10.0
71	877736472329191424	13.0	10.0
72	877556246731214848	12.0	10.0
73	877316821321428993	13.0	10.0
74	877201837425926144	12.0	10.0
75	876838120628539392	12.0	10.0
76	876537666061221889	14.0	10.0
77	876484053909872640	13.0	10.0
