	tweet_id	name	floofer	pupper	puppo	jpg_url	img_num
157	857029823797047296	Zeke	None	None	None		
158	856543823941562368	Callie	None	None	None		
159	856526610513747968	None	None	None	None		
160	856288084350160898	None	None	None	None		
161	856282028240666624	Cermet	None	None	None		
162	855862651834028034	None	None	None	None		
163	855860136149123072	None	None	None	None		
164	855857698524602368	None	None	None	None		
165	855851453814013952	None	None	None	puppo		
166	855818117272018944	None	None	None	None		
167	855459453768019968	quite	None	None	None		
168	854732716440526848	Marlee	None	None	None		
169	854482394044301312	Arya	None	None	None		
170	854365224396361728	Einstein	None	None	None		
171	854120357044912130	None	None	pupper	None		
172	854010172552949760	None	floofer	None	None		
173	853760880890318849	Alice	None	None	None		
174	853639147608842240	None	None	None	None		
175	853299958564483072	Rumpole	None	None	None		
176	852912242202992640	Benny	None	None	None		
177	852672615818899456	Aspen	None	None	None		
178	852553447878664193	Jarod	None	None	None		
179	852311364735569921	Wiggles	None	None	None		
180	852226086759018497	General	None	None	None		
181	852189679701164033	Sailor	None	None	None		
182	851591660324737024	None	None	None	None		
183	851464819735769094	Iggy	None	None	None		
184	851224888060895234	Snoop	None	None	None		
185	850753642995093505	Kyle	None	None	None		
186	850380195714523136	Leo	None	None	None		
187	850333567704068097	None	None	None	None		
188	850145622816686080	Riley	None	None	None		
189	850019790995546112	Boomer	None	pupper	None		
190	849776966551130114	None	None	None	None		
191	849412302885593088	Noosh	None	None	None		
192	849336543269576704	None	None	None	None		
193	849051919805034497	Kevin	None	None	None		
194	848690551926992896	None	None	None	None		
195	848324959059550208	Odin	None	None	None		
196	848213670039564288	None	None	None	None		
197	848212111729840128	Jerry	None	None	None		
198	847962785489326080	Georgie	None	None	None		
199	847842811428974592	Rontu	None	None	None		
200	847617282490613760	None	None	None	None		
201	847606175596138505	Cannon	None	None	None		
202	847251039262605312	Furzey	None	None	None		
203	847157206088847362	Daisy	None	None	None		
204	847116187444137987	None	None	None	None		
205	846874817362120707	Tuck	None	None	None		
206	846514051647705089	Barney	None	None	None		
207	846505985330044928	None	None	None	None		
208	846153765933735936	Vixen	None	None	None		
209	846139713627017216	None	None	None	None		
210	846042936437604353	Jarvis	None	None	None		
211	845812042753855489	None	None	None	None		
212	845677943972139009	None	None	None	None		
213	845397057150107648	Mimosa	None	None	None		
214	845306882940190720	Pickles	None	pupper	None		
215	844979544864018432	None	None	None	None		
216	844973813909606400	Brady	None	None	None		
217	844704788403113984	Luna	None	None	None		
218	844580511645339650	Charlie	None	None	None		
219	844223788422217728	Margo	None	None	None		
220	843981021012017153	None	None	None	None		
221	843856843873095681	Sadie	None	None	None		
222	843604394117681152	Hank	None	None	None		
223	843235543001513987	Tycho	None	None	None		
224	842846295480000512	Charlie	None	None	None		
225	842765311967449089	Indie	None	None	None		
226	842535590457499648	Winnie	None	None	None		
227	842163532590374912	George	None	None	None		
228	842115215311396866	Bentley	None	None	None		
229	841680585030541313	Penny	None	None	None		
230	841439858740625411	None	None	None	None		
231	841320156043304961	None	None	None	None		
232	841314665196081154	Max	None	None	None		
233	841077006473256960	Dawn	None	None	None		
234	840698636975636481	None	None	None	None		
235	840696689258311684	None	None	None	None		
236	840632337062862849	Maddie	None	None	None		
237	840370681858686976	None	None	None	None		
238	840268004936019968	Monty	None	None	None		
239	839990271299457024	Sojourner	None	None	None		
240	839549326359670784	Winston	None	None	None		
241	839239871831150596	Odie	None	None	None		
242	838952994649550848	None	None	None	None		
243	838921590096166913	Arlo	None	None	None		
244	838561493054533637	Walter	None	None	None		
245	838476387338051585	Stanley	None	None	None		
246	838150277551247360	None	None	None	None		
247	838085839343206401	None	None	None	None		
248	838083903487373313	Daisy	None	None	None		
249	837820167694528512	None	None	pupper	None		
250	837482249356513284	Waffles	None	None	None		
251	837471256429613056	Vincent	None	None	None		
252	837366284874571778	Lucy	None	None	None		
253	837110210464448512	Clark	None	pupper	None		
254	836989968035819520	Mookie	None	None	None		
255	836753516572119041	Meera	None	None	None		
256	836677758902222849	Oliver	None	None	None		
257	836380477523124226	Ava	None	pupper	None		
258	836260088725786625	Lucy	None	None	None		
259	836001077879255040	None	None	None	None		
260	835574547218894849	Eli	None	None	None		
261	835297930240217089	Ash	None	None	None		
262	835264098648616962	Lola	None	None	None		
263	835246439529840640	None	None	None	None		
264	835172783151792128	None	None	None	None		
265	835152434251116546	None	None	None	None		
266	834931633769889797	Tucker	None	None	None		
267	834786237630337024	Tobi	None	None	None		
268	834574053763584002	None	None	None	None		
269	834458053273591808	Chester	None	None	None		
270	834209720923721728	Wilson	None	None	None		
271	834167344700198914	Sunshine	None	None	None		
272	834089966724603904	None	None	None	None		
273	834086379323871233	Lipton	None	None	None		
274	833863086058651648	Bentley	None	None	None		
275	833826103416520705	Charlie	None	None	None		
276	833722901757046785	Bronte	None	None	None		
277	833479644947025920	Poppy	None	None	None		
278	833124694597443584	Gidget	None	pupper	None		
279	832998151111966721	Rhino	None	None	None		
280	832757312314028032	Willow	None	None	None		
281	832682457690300417	None	None	None	None		
282	832645525019123713	not	None	None	None		
283	832636094638288896	Orion	None	None	None		
284	832397543355072512	Eevee	None	None	None		
285	832369877331693569	Charlie	None	None	None		
286	832273440279240704	Smiley	None	None	None		
287	832088576586297345	None	None	None	None		
288	832032802820481025	Miguel	None	None	None		
289	831939777352105988	Emanuel	None	None	None		
290	831926988323639298	None	None	None	None		
291	831911600680497154	Kuyu	None	None	None		
292	831670449226514432	Daisy	None	None	None		
293	831650051525054464	None	None	None	None		
294	831552930092285952	Dutch	None	None	None		
295	831322785565769729	Pete	None	None	None		
296	831315979191906304	None	None	pupper	None		
297	831309418084069378	Scooter	None	None	None		
298	831262627380748289	Tucker	None	None	None		
299	830956169170665475	Reggie	None	None	None		
300	830583320585068544	Lilly	None	None	None		
301	830097400375152640	Samson	None	None	None		
302	829861396166877184	Mia	None	None	None		
303	829501995190984704	Leo	None	None	None		
304	829449946868879360	None	None	None	None		
305	829374341691346946	Astrid	None	None	None		
306	829141528400556032	Malcolm	None	None	None		
307	829011960981237760	Dexter	None	None	None		
308	828770345708580865	Alfie	None	None	None		
309	828708714936930305	Fiona	None	None	None		
310	828650029636317184	one	None	None	None		
311	828409743546925057	Mutt	None	None	None		
312	828408677031882754	Bear	None	None	None		
313	828381636999917570	Doobert	None	None	None		
314	828376505180889089	Beebop	None	None	None		
315	828372645993398273	Alexander	None	None	None		
316	828361771580813312	None	None	None	None		
317	828046555563323392	Sailer	None	None	None		
318	828011680017821696	Brutus	None	None	None		
319	827933404142436356	Kona	None	pupper	None		
320	827653905312006145	Boots	None	None	None		
321	827600520311402496	Tucker	None	None	None		
322	827324948884643840	Ralphie	None	None	None		
323	827199976799354881	Charlie	None	None	None		
324	826958653328592898	Loki	None	None	None		
325	826848821049180160	Cupid	None	None	None		
326	826598799820865537	None	None	None	None		
327	826598365270007810	Pawnd	None	None	None		
328	826476773533745153	Pilot	None	None	None		
329	826240494070030336	None	None	None	None		
330	826204788643753985	None	None	None	None		
331	826115272272650244	Ike	None	None	None		
332	825876512159186944	Mo	None	None	None		
333	825829644528148480	Toby	None	None	None		
334	825535076884762624	None	None	None	puppo		
335	825147591692263424	Sweet	None	None	None		
336	825026590719483904	Pablo	None	None	puppo		
337	824775126675836928	Scooter	None	None	None		
338	824663926340194305	Wilson	None	None	None		
339	824325613288833024	None	None	pupper	None		
340	824297048279236611	Nala	None	None	None		
341	824025158776213504	None	None	None	None		
342	823939628516474880	Cash	None	None	None		
343	823699002998870016	Winston	None	None	None		
344	823581115634085888	Crawford	None	None	None		
345	823333489516937216	None	None	None	None		
346	823322678127919110	Wyatt	None	None	None		
347	822975315408461824	Albus	None	None	None		
348	822872901745569793	None	None	None	puppo		
349	822859134160621569	Hobbes	None	None	None		
350	822610361945911296	None	None	None	None		
351	822489057087389700	Paisley	None	None	None		
352	822462944365645825	Gabe	None	pupper	None		
353	822244816520155136	None	None	None	None		
354	821886076407029760	Jimison	None	None	None		
355	821765923262631936	Duchess	None	None	None		
356	821522889702862852	Harlso	None	None	None		
357	821407182352777218	Sundance	None	None	None		
358	821153421864615936	None	None	None	None		
359	821149554670182400	Luca	None	None	None		
360	821107785811234820	None	None	None	None		
361	821044531881721856	Flash	None	None	None		
362	820749716845686786	Sunny	None	None	None		
363	820690176645140481	None	None	None	None		
364	820314633777061888	None	None	None	None		
365	820078625395449857	None	None	None	None		
366	819952236453363712	Oliver	None	None	puppo		
367	819924195358416896	None	None	None	None		
368	819711362133872643	Howie	None	None	None		
369	819588359383371776	Jazzy	None	None	None		
370	819347104292290561	Anna	None	None	None		
371	819238181065359361	None	None	pupper	None		
372	819227688460238848	Finn	None	None	None		
373	819006400881917954	Sunny	None	None	None		
374	819004803107983360	Bo	None	None	None		
375	818627210458333184	Wafer	None	None	None		
376	818614493328580609	Bear	None	None	None		
377	818536468981415936	Tom	None	None	None		
378	818259473185828864	Florence	None	None	None		
379	818145370475810820	Autumn	None	None	None		
380	817908911860748288	None	None	None	None		
381	817827839487737858	Buddy	None	None	None		
382	817777686764523521	Dido	None	pupper	None		
383	817536400337801217	Eugene	None	None	None		
384	817423860136083457	Ken	None	None	None		
385	817415592588222464	Strudel	None	None	None		
386	817171292965273600	Tebow	None	None	None		
387	817120970343411712	None	None	None	None		
388	817056546584727552	Chloe	None	None	None		
389	816816676327063552	Timber	None	None	None		
390	816697700272001025	Binky	None	None	None		
391	816450570814898180	Moose	None	None	None		
392	816336735214911488	Dudley	None	None	None		
393	816091915477250048	Comet	None	None	None		
394	815990720817401858	Jack	None	None	None		
395	815966073409433600	None	None	pupper	None		
396	815736392542261248	Akumi	None	None	None		
397	815639385530101762	Titan	None	None	None		
398	815390420867969024	None	None	None	None		
399	814986499976527872	Cooper	None	pupper	None		
400	814638523311648768	Olivia	None	None	None		
401	814530161257443328	Alf	None	None	None		
402	814153002265309185	Oshie	None	None	None		
403	813910438903693312	Chubbs	None	None	None		
404	813812741911748608	Gary	None	None	None		
405	813800681631023104	Sky	None	None	None		
406	813217897535406080	Atlas	None	None	None		
407	813202720496779264	None	None	None	None		
408	813187593374461952	None	None	None	None		
409	813172488309972993	Eleanor	None	None	None		
410	813157409116065792	Layla	None	None	None		
411	813142292504645637	None	None	None	None		
412	813130366689148928	None	None	None	None		
413	813127251579564032	None	None	None	None		
414	813112105746448384	Toby	None	None	None		
415	813096984823349248	Rocky	None	None	None		
416	813081950185472002	Baron	None	None	None		
417	813066809284972545	Tyr	None	None	None		
418	813051746834595840	Bauer	None	None	None		
419	812781120811126785	Swagger	None	None	None		
420	812709060537683968	Brandi	None	None	None		
421	812503143955202048	None	None	None	None		
422	812466873996607488	Mary	None	None	None		
423	812372279581671427	Moe	None	None	None		
424	811985624773361665	Ted	None	None	None		
425	811744202451197953	Halo	None	None	None		
426	811647686436880384	None	None	None	None		
427	811627233043480576	Augie	None	None	None		
428	811386762094317568	Craig	None	pupper	None		
429	810984652412424192	Sam	None	None	None		
430	810896069567610880	Hunter	None	None	None		
431	810657578271330305	Pavlov	None	None	None		
432	810284430598270976	Phil	None	None	None		
433	810254108431155201	Gus	None	None	None		
434	809920764300447744	None	None	None	None		
435	809448704142938112	None	None	None	None		
436	809220051211603969	Kyro	None	None	None		
437	809084759137812480	Wallace	None	None	None		
438	808838249661788160	Ito	None	None	None		
439	808733504066486276	None	None	pupper	None		
440	808501579447930884	Koda	None	None	None		
441	808344865868283904	Seamus	None	None	None		
442	808106460588765185	None	None	pupper	None		
443	808001312164028416	Cooper	None	None	None		
444	807621403335917568	Ollie	None	pupper	None		
445	807106840509214720	Stephan	None	None	None		
446	807010152071229440	Lennon	None	None	None		
447	806629075125202948	None	None	None	None		
448	806576416489959424	None	None	None	None		
449	806542213899489280	Waffles	None	None	None		
450	806219024703037440	incredibly	None	None	None		
451	805932879469572096	Major	None	None	None		
452	805826884734976000	Duke	None	None	None		
453	805520635690676224	Zeke	None	None	None		
454	805487436403003392	Sansa	None	None	None		
455	805207613751304193	Shooter	None	None	None		
456	804738756058218496	Django	None	None	None		
457	804475857670639616	None	None	None	None		
458	804026241225523202	Bo	None	None	None		
459	803773340896923648	Diogi	None	None	puppo		
460	803638050916102144	None	None	pupper	None		
461	803380650405482500	Sonny	None	None	None		
462	803276597545603072	Winston	None	None	None		
463	802952499103731712	Marley	None	None	None		
464	802600418706604034	Bailey	None	None	None		
465	802572683846291456	Winnie	None	None	None		
466	802323869084381190	Severus	None	None	None		
467	802265048156610565	None	None	pupper	None		
468	802239329049477120	Loki	None	None	puppo		
469	801958328846974976	Ronnie	None	None	None		
470	801854953262350336	None	None	None	None		
471	801538201127157760	Wallace	None	None	None		
472	801285448605831168	None	None	None	None		
473	801167903437357056	Milo	None	None	None		
474	801115127852503040	Bones	None	pupper	None		
475	800859414831898624	None	None	None	None		
476	800751577355128832	Mauve	None	None	None		
477	800513324630806528	Chef	None	None	None		
478	800459316964663297	None	None	pupper	None		
479	800388270626521089	Doc	floofer	None	None		
480	800141422401830912	Peaches	None	None	None		
481	800018252395122689	None	None	None	None		
482	799757965289017345	Sobe	None	None	None		
483	799422933579902976	Longfellow	None	None	None		
484	799297110730567681	Jeffrey	None	None	None		
485	799063482566066176	Mister	None	None	None		
486	798933969379225600	Iroh	None	None	None		
487	798925684722855936	Shadow	None	None	None		
488	798209839306514432	Cooper	None	None	None		
489	797971864723324932	None	None	pupper	None		
490	797545162159308800	Cassie	None	None	None		
491	797236660651966464	Pancake	None	None	None		
492	797165961484890113	None	None	None	None		
493	796865951799083009	Tyr	None	None	None		
494	796759840936919040	Romeo	None	None	None		
495	796484825502875648	None	None	None	None		
496	796387464403357696	Snicku	None	None	None		
497	796149749086875649	Ruby	None	None	None		
498	796125600683540480	None	None	None	None		
499	796116448414461957	None	None	None	None		
500	796080075804475393	Yogi	None	None	None		
501	796031486298386433	Daisy	None	None	None		
502	795464331001561088	None	None	None	None		
503	795400264262053889	Brody	None	None	None		
504	795076730285391872	Bailey	None	None	None		
505	794926597468000259	Mack	None	None	None		
506	794332329137291264	Nimbus	None	None	None		
507	794205286408003585	Laika	None	pupper	None		
508	793962221541933056	Maximus	None	None	None		
509	793845145112371200	Clark	None	None	None		
510	793601777308463104	Dobby	None	None	None		
511	793500921481273345	Fiona	None	None	None		
512	793286476301799424	Moreton	None	None	None		
513	793271401113350145	Dave	None	None	None		
514	793256262322548741	None	None	None	None		
515	793241302385262592	Tucker	None	None	None		
516	793226087023144960	Juno	None	None	None		
517	793210959003287553	Maude	None	None	None		
518	793195938047070209	Lily	None	None	puppo		
519	793180763617361921	Newt	None	None	None		
520	793165685325201412	Benji	None	None	None		
521	793150605191548928	Nida	None	None	None		
522	793135492858580992	None	None	None	None		
523	793120401413079041	Robin	None	None	None		
524	792913359805018113	a	None	None	None		
525	792883833364439040	Bailey	None	None	None		
526	792773781206999040	Monster	None	None	None		
527	792394556390137856	BeBe	None	None	None		
528	792050063153438720	Remus	None	None	None		
529	791774931465953280	None	None	None	None		
530	791672322847637504	None	None	None	None		
531	791406955684368384	Levi	None	None	None		
532	791312159183634433	Mabel	None	None	None		
533	790987426131050500	Misty	None	None	None		
534	790946055508652032	Betty	None	None	puppo		
535	790698755171364864	Mosby	None	None	None		
536	790581949425475584	Duke	None	None	None		
537	790337589677002753	Maggie	None	None	None		
538	790277117346975746	Bruce	None	None	None		
539	789986466051088384	Happy	None	None	None		
540	789903600034189313	Ralphy	None	pupper	None		
541	789628658055020548	Eli	None	None	None		
542	789599242079838210	Brownie	None	None	None		
543	789530877013393408	Rizzy	None	None	None		
544	789314372632018944	None	None	None	None		
545	789268448748703744	Stella	None	None	None		
546	789137962068021249	Bo	None	None	None		
547	788908386943430656	Lucy	None	None	None		
548	788765914992902144	Butter	None	None	None		
549	788412144018661376	Dexter	None	None	None		
550	788178268662984705	None	None	None	None		
551	788150585577050112	Leo	None	None	None		
552	788039637453406209	None	None	None	None		
553	787810552592695296	Frank	None	None	None		
554	787717603741622272	Tonks	None	None	puppo		
555	787397959788929025	Moose	None	None	None		
556	787322443945877504	Lincoln	None	None	None		
557	786963064373534720	Rory	None	None	None		
558	786709082849828864	Logan	None	None	None		
559	786664955043049472	None	None	None	None		
560	786595970293370880	Dale	None	None	None		
561	786363235746385920	Rizzo	None	None	None		
562	786286427768250368	Arnie	None	None	None		
563	786233965241827333	Mattie	None	None	None		
564	786051337297522688	None	None	None	puppo		
565	785927819176054784	Lucy	None	None	None		
566	785872687017132033	Rusty	None	None	None		
567	785639753186217984	Pinot	None	pupper	None		
568	785533386513321988	Dallas	None	None	None		
569	785515384317313025	None	None	None	None		
570	785264754247995392	Doc	None	None	None		
571	785170936622350336	Hero	None	None	None		
572	784826020293709826	Rusty	None	None	None		
573	784517518371221505	Frankie	None	None	None		
574	784431430411685888	Stormy	None	None	None		
575	784183165795655680	Reginald	None	None	puppo		
576	784057939640352768	Balto	None	None	None		
577	783839966405230592	Riley	None	None	None		
578	783821107061198850	Mairi	None	None	None		
579	783695101801398276	Loomis	None	None	None		
580	783466772167098368	Finn	None	None	None		
581	783391753726550016	Godi	None	None	None		
582	783334639985389568	Dave	None	None	None		
583	783085703974514689	Earl	None	None	None		
584	782969140009107456	Cali	None	None	None		
585	782747134529531904	Deacon	None	None	None		
586	782722598790725632	Penny	None	None	None		
587	782598640137187329	Timmy	None	None	None		
588	782305867769217024	Sampson	None	None	None		
589	781955203444699136	Chipson	None	None	None		
590	781661882474196992	None	None	None	None		
591	781655249211752448	Combo	None	None	None		
592	781524693396357120	None	None	None	None		
593	781308096455073793	None	None	pupper	None		
594	781251288990355457	Oakley	None	None	None		
595	781163403222056960	None	None	None	None		
596	780931614150983680	None	None	None	puppo		
597	780858289093574656	Dash	None	None	None		
598	780800785462489090	Koda	None	None	None		
599	780601303617732608	Hercules	None	None	None		
600	780543529827336192	None	None	None	None		
601	780459368902959104	Bear	None	None	None		
602	780192070812196864	None	None	None	None		
603	780074436359819264	None	None	None	None		
604	779834332596887552	Scout	None	None	None		
605	779377524342161408	None	None	pupper	None		
606	779123168116150273	Reggie	None	None	None		
607	779056095788752897	None	None	None	None		
608	778990705243029504	Jay	None	None	None		
609	778764940568104960	None	None	None	None		
610	778748913645780993	Mya	None	None	None		
611	778650543019483137	Strider	None	None	None		
612	778624900596654080	Penny	None	None	None		
613	778408200802557953	None	None	None	None		
614	778383385161035776	Nala	None	None	None		
